threshold,accuracy,balanced_accuracy,f1_macro,recall_safe,recall_unsafe
0.4,0.7344,0.5914542088165645,0.581948844233487,0.9747691052646913,0.20813931236843783
0.405,0.73477,0.59253804660817,0.5837246480029622,0.9739387582670512,0.21113733494928877
0.41,0.73513,0.5935366320069282,0.5853391238176798,0.9732249511989045,0.21384831281495184
0.415,0.73517,0.5942588216315586,0.586613746151951,0.9721178218687178,0.21639982139439945
0.42,0.73531,0.5949672168818402,0.5878032467287648,0.9713020423622644,0.21863239140141608
0.425,0.73544,0.5957203074846978,0.5890686849941135,0.9703842904175043,0.2210563245518913
0.43,0.73553,0.5966002003996899,0.5905652429438938,0.9691460536666375,0.22405434713274222
0.435,0.7358,0.5976631798335312,0.5922808738479524,0.9680826268100108,0.22724373285705174
0.44,0.73608,0.5987421061959942,0.5940046875266246,0.967019199953384,0.23046501243860432
0.445,0.73629,0.5998306886205013,0.5957600394921425,0.9657518282201439,0.2339095490208586
0.45,0.73625,0.6005379241955261,0.5969645051098637,0.9644553215045305,0.23662052688652166
0.455,0.73638,0.6015595734722583,0.5986102006247928,0.9630859773329837,0.24003316961153282
0.46,0.7364,0.6024924383644356,0.6001360765449886,0.9615709582495703,0.24341391847930088
0.465,0.73666,0.6036867449811351,0.601980039723704,0.9602598840427702,0.2471136059194999
0.47,0.73683,0.6045989183117891,0.603386069018186,0.9591818896949568,0.25001594692862156
